名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
龙井山园,浙江,杭州,杭州,0571,87969667,龙井/虎跑,翁家山104号,景点,自然风光,120.112496,30.218996
龙门古镇,浙江,杭州,富阳区,0571,63506192;63507889,龙门古镇,龙门镇307省道,景点,古村古镇,119.950738,29.900962
马寅初旧居,浙江,杭州,杭州,0571,87066658,浙一医院/庆春路沿线,庆春路210号,景点,名人故居,120.165945,30.258742
南屏寺,浙江,杭州,临安,0571,63767827,临安区其他,香主庙15号,景点,宗教,119.742474,30.103314
八卦田遗址公园,浙江,杭州,杭州,0571,,龙井/虎跑,虎玉路41号,景点,公园/广场,120.151778,30.211218
南阳镇敬天竺禅院,浙江,杭州,杭州,0571,82975964,南阳河庄,左十四线,景点,宗教,120.436919,30.290499
潘天寿墓,浙江,杭州,杭州,0571,,龙井/虎跑,虎跑路玉皇前山望海亭西山腰,景点,古代遗迹,120.145294,30.221274
千岛湖石林,浙江,杭州,淳安县,0571,65020580;64870013,淳安县其他,富西线,景点,自然风光,119.004316,29.37514
钱王祠,浙江,杭州,杭州,0571,87068289,南山路/柳浪闻莺/美术学院,钱王祠路11号,景点,历史建筑,120.157938,30.24283
钱王陵,浙江,杭州,临安,0571,63722883,衣锦街,锦城街道衣锦街338号,景点,古代遗迹,119.724957,30.237105
琴溪香谷景区,浙江,杭州,桐庐县,0571,64378618,桐庐县其他,瑶琳镇珠村,景点,自然风光,119.59305,29.960007
山沟沟景区,浙江,杭州,杭州,0571,88573333,余杭区,鸬鸟镇太平山沟沟村下余65号,景点,自然风光,119.711171,30.423481
神龙川风景区,浙江,杭州,临安,0571,63790882,太湖源,横渡村神龙川景区,景点,自然风光,119.550087,30.366919
石长城,浙江,杭州,临安,0571,63739128,临安区其他,马啸乡,景点,历史建筑,118.955116,30.139856
双峰插云,浙江,杭州,杭州,0571,87960603,西湖北线/黄龙,灵隐路与赵公堤路交叉口,景点,自然风光,120.12273,30.24753
思澄堂,浙江,杭州,杭州,0571,87024262,湖滨/解百商厦,解放路132号（近中山中路）,景点,历史建筑,120.17297,30.251075
杭州苏东坡纪念馆,浙江,杭州,杭州,0571,87963684,南山路/柳浪闻莺/美术学院,南山路2-1号,景点,纪念馆,120.144049,30.22901
苏小小墓,浙江,杭州,杭州,0571,,西湖北线/黄龙,孤山路与北山街路口,景点,古代遗迹,120.138371,30.251831
唐云艺术馆,浙江,杭州,杭州,0571,87917697,南山路/柳浪闻莺/美术学院,南山路45号,景点,美术馆,120.155324,30.233271
陶成章墓,浙江,杭州,杭州,0571,,龙井/虎跑,西湖街道西湖风景名胜区,景点,烈士陵园,120.114771,30.227121
天石微雕艺术馆,浙江,杭州,杭州,0571,82659957,城厢,江寺公园怡怡山堂,景点,美术馆,120.271638,30.163457
天钟山,浙江,杭州,富阳区,0571,63580003,富阳区其他,大棚山旁,景点,自然风光,119.944347,29.977369
杭州天主教堂,浙江,杭州,杭州,0571,85101803,武林广场,中山北路415号（近银泰）,景点,宗教,120.167209,30.267484
通天飞瀑,浙江,杭州,富阳区,0571,63283398;136****1605,富春桃源通天飞瀑景区沿线,通天飞瀑风景区（胥高线南100米）,景点,自然风光,119.629155,30.001443
桐庐基督教堂,浙江,杭州,桐庐县,0571,64212150,大润发/中心广场,大奇山路397号,景点,宗教,119.686201,29.789787
万松书院,浙江,杭州,杭州,0571,86079486;86079490,南山路/柳浪闻莺/美术学院,万松岭路81号,景点,历史建筑,120.160475,30.226761
吴山天风,浙江,杭州,杭州,0571,87033300,吴山广场/河坊街,城隍山吴山3号,景点,自然风光,120.16467,30.239631
五云山,浙江,杭州,杭州,0571,86086364;86083348,九溪,九溪二龙头五云东路6号,景点,自然风光,120.11739,30.18768
西兴基督教堂,浙江,杭州,杭州,0571,86683540,开发区/高教园,西兴路750号,景点,宗教,120.232941,30.191316
夏衍旧居,浙江,杭州,杭州,0571,86434817,城东,严家路50号,景点,名人故居,120.202396,30.27341
浙东运河萧山展示馆,浙江,杭州,杭州,0571,82623084,城厢,文化路104号,景点,博物馆,120.2715,30.16185
萧山水利工程纪念堂,浙江,杭州,杭州,0571,82311335,萧山区,万达北路,景点,纪念公园,120.161969,30.134719
小古城遗址,浙江,杭州,杭州,0571,,余杭区,207省道,景点,古代遗迹,119.88155,30.381927
衙前基督教堂,浙江,杭州,杭州,0571,,衙前,项漾村草漾路70-1号,景点,宗教,120.394805,30.158844
严子陵钓台,浙江,杭州,桐庐县,0571,64651646,富春江景区,富春江镇七里泷段,景点,自然风光,119.648363,29.696494
俞曲园纪念馆,浙江,杭州,杭州,0571,87968525,西湖北线/黄龙,孤山路32号,景点,纪念馆,120.139282,30.250556
玉泉,浙江,杭州,杭州,0571,87987380;137****1721,西湖北线/黄龙,桃源岭1号附近,景点,自然风光,120.11817,30.255135
岳王庙,浙江,杭州,杭州,0571,87986663;87986653,西湖北线/黄龙,苏堤北面北山路80号,景点,宗教,120.134591,30.252443
云栖竹径,浙江,杭州,杭州,0571,87090437,龙井/虎跑,梅灵南路与之江路交叉口北2公里处,景点,自然风光,120.091771,30.19128
张苍水先生祠,浙江,杭州,杭州,0571,87972985,南山路/柳浪闻莺/美术学院,西湖街道南山路2-1号,景点,宗教,120.144374,30.228384
章太炎故居,浙江,杭州,杭州,0571,88611051,仓前,仓前塘路59号,景点,名人故居,119.999859,30.289203
杭州章太炎纪念馆,浙江,杭州,杭州,0571,87979245,南山路/柳浪闻莺/美术学院,南山路2-1号,景点,纪念馆,120.14445,30.228431
浙江革命烈士纪念馆,浙江,杭州,杭州,0571,87081841,南山路/柳浪闻莺/美术学院,万松岭路100-1号,景点,纪念馆,120.161652,30.230589
浙江辛亥革命纪念馆,浙江,杭州,杭州,0571,87970469,龙井/虎跑,龙井路138号,景点,纪念馆,120.114548,30.227251
杭州中美友谊民间纪念馆,浙江,杭州,杭州,0571,,武林广场,后营弄与耶稣堂弄交叉口南100米,景点,纪念馆,120.167337,30.268112
竹素园,浙江,杭州,杭州,0571,87969691,西湖北线/黄龙,北山街87-2号,景点,自然风光,120.13377,30.251737
七里扬帆景区,浙江,杭州,建德市,0571,64148042,建德市其他,七里扬帆景区姚坞码头游客中心,景点,自然风光,119.544716,29.547881
曲院风荷,浙江,杭州,杭州,0571,87179603,西湖北线/黄龙,北山街89号,景点,自然风光,120.133356,30.249382
华天旅行社,浙江,杭州,杭州,0571,87295330,凤起路沿线,刀茅巷珠碧2弄4号,景点,旅行社,120.186301,30.260211
杭州休博园,浙江,杭州,杭州,0571,86984319,湘湖,湘湖路92号,景点,更多景点/周边游,120.243546,30.156286
和平国际会展中心,浙江,杭州,杭州,0571,,朝晖地区,绍兴路158号,景点,展览馆,120.175724,30.291201
浙江展览馆,浙江,杭州,杭州,0571,85151901,武林广场,环城北路197号,景点,展览馆,120.163239,30.272461
云松书舍,浙江,杭州,杭州,0571,,西湖北线/黄龙,灵隐路13号赵公堤路对面,景点,更多景点/周边游,120.122233,30.247881
醉吟馆,浙江,杭州,杭州,0571,87999997,龙井/虎跑,龙井路69号,景点,人文古迹,120.12491,30.238034
西湖天地,浙江,杭州,杭州,0571,0571-87026161,南山路/柳浪闻莺/美术学院,南山路147号9C,景点,更多景点/周边游,120.159279,30.24703
梅家坞,浙江,杭州,杭州,0571,138****5271,龙井/虎跑,梅灵南路,景点,文化村落,120.087799,30.203268
环湖观光,浙江,杭州,杭州,0571,87972452,平海路,西湖风景区沿线,景点,自然景观,120.162471,30.250561
信义坊步行街,浙江,杭州,杭州,0571,133****9181,湖墅南路,湖墅街道信义坊商街203号,景点,步行街,120.14386,30.294199
中国财税博物馆,浙江,杭州,杭州,0571,87835356,吴山广场/河坊街,吴山广场28号,景点,博物馆,120.16294,30.238785
五洋公园,浙江,杭州,杭州,0571,,浙一医院/庆春路沿线,庆春路48号,景点,公园/广场,120.179519,30.261412
东园公园,浙江,杭州,杭州,0571,85185413,凤起路沿线,大树路90号,景点,公园/广场,120.183945,30.26859
杭州半山国家森林公园,浙江,杭州,杭州,0571,88031581,半山,半山街道半山路以北,景点,森林公园,120.193947,30.364904
世纪公园,浙江,杭州,杭州,0571,,临平,东湖街道东湖北路寓天荷路,景点,公园/广场,120.304259,30.441231
万向公园,浙江,杭州,杭州,0571,,武林广场,武林路与体育场路交口,景点,公园/广场,120.157474,30.2715
武林广场,浙江,杭州,杭州,0571,85190851,武林广场,环城北路208号,景点,广场,120.163327,30.271076
钱塘江大桥,浙江,杭州,杭州,0571,,龙井/虎跑,之江路和闻涛路之间,景点,现代建筑,120.141573,30.188247
西湖风景名胜区,浙江,杭州,杭州,0571,87977767;87179617,龙井/虎跑,龙井路1号,景点,自然风光,120.12445,30.224848
超山风景名胜区,浙江,杭州,杭州,0571,86311198;86311228,临平风景区,塘栖镇龙超线,景点,自然风光,120.217534,30.434311
老和山,浙江,杭州,杭州,0571,,西湖北线/黄龙,浙大路38号浙江大学玉泉校区后门附近,景点,自然风光,120.118901,30.268351
北高峰,浙江,杭州,杭州,0571,87977767,灵隐/白乐桥,西溪路杭州西湖风景名胜区内（近杭州西湖风景名胜区索道售票处）,景点,自然风光,120.097986,30.245482
翁家山,浙江,杭州,杭州,0571,,龙井/虎跑,87路,景点,自然风光,120.116809,30.219177
印象西湖·最忆是杭州实景演出,浙江,杭州,杭州,0571,87962222,西湖北线/黄龙,北山街82号（近岳王庙）,景点,旅游项目/观光项目,120.134461,30.251486
杭州古城墙陈列馆,浙江,杭州,杭州,0571,,浙一医院/庆春路沿线,环城东路和庆春路交叉口贴沙河边（庆春路口东北角）,景点,陈列馆,120.187752,30.258192
迎薰阁,浙江,杭州,杭州,0571,,杨公堤,杭州西湖风景名胜区曲院风荷内,景点,景点/周边游,120.132158,30.250718
清河坊,浙江,杭州,杭州,0571,86927218,吴山广场/河坊街,清河坊景区,景点,步行街,120.169802,30.239875
太湖源景区,浙江,杭州,临安,0571,63739100;63790368,太湖源,太湖源镇白沙村郑家坪1号,景点,自然风光,119.560595,30.407191
茅家埠,浙江,杭州,杭州,0571,,龙井/虎跑,杨公堤与龙井支路交叉口以北,景点,自然风光,120.125967,30.238406
韩美林艺术馆,浙江,杭州,杭州,0571,87972353,西湖北线/黄龙,玉古路桃源岭3号,景点,美术馆,120.11997,30.25118
吴山夜市,浙江,杭州,杭州,0571,,湖滨/解百商厦,湖滨街道仁和路（龙翔桥地铁站D口步行490米）,景点,夜市,120.168305,30.252766
银桥旅业,浙江,杭州,杭州,0571,86986832,钱江新城/四季青,庆春东路87号,景点,旅行社,120.19387,30.25712
沙孟海故居,浙江,杭州,杭州,0571,87031616,浙一医院/庆春路沿线,龙游路82号（近环城西路）,景点,纪念馆,120.158568,30.261671
中国京杭大运河博物馆,浙江,杭州,杭州,0571,88162018,运河上街,拱宸桥街道金华路34号运河文化广场1号,景点,博物馆,120.141389,30.317404
小河直街历史文化街区,浙江,杭州,杭州,0571,,拱宸桥/上塘,长征桥路与和睦路交叉口,景点,步行街,120.135339,30.308325
陆游纪念馆,浙江,杭州,杭州,0571,87912981,武林广场,孩儿巷105号孩儿巷105号孩儿巷竹竿巷社区,景点,纪念馆,120.167016,30.261802
城东公园,浙江,杭州,杭州,0571,,城东,艮山西路401号（近贴沙河）,景点,公园/广场,120.188436,30.273111
鼓楼堂,浙江,杭州,杭州,0571,87807697,吴山广场/河坊街,中河中路1号（近鼓楼）,景点,宗教,120.17163,30.238696
CBD公园,浙江,杭州,杭州,0571,86969081,钱江新城/四季青,五星路181号,景点,公园/广场,120.212454,30.238101
波浪文化城,浙江,杭州,杭州,0571,,钱江新城/四季青,解放东路f区负1层,景点,公园/广场,120.214485,30.243585
京杭大运河,浙江,杭州,杭州,0571,85190851;85021237,武林广场,环城北路208号,景点,城市观光,120.16228,30.27425
杭州长乔极地海洋公园,浙江,杭州,杭州,0571,82609090,湘湖,城厢街道湘湖景区湘湖路777号（杨堤与湘湖路交叉口）,景点,海洋馆,120.225706,30.140908
西湖文化广场,浙江,杭州,杭州,0571,,西湖文化广场,环城北路47号武林广场运河北侧（近体育场路）,景点,广场,120.163865,30.276486
浙江省科技馆,浙江,杭州,杭州,0571,85090500,武林广场,中山北路西湖文化广场2号,景点,科技馆,120.164108,30.276503
天目溪漂流,浙江,杭州,桐庐县,0571,64376173,桐庐县其他,红灯笼景区,景点,漂流,119.510272,29.926711
霞湾公园,浙江,杭州,杭州,0571,,朝晖地区,德胜巷清水公寓西侧（近运河德胜桥北门）,景点,公园/广场,120.150999,30.29362
东普寺,浙江,杭州,临安,0571,,临安区其他,玲珑开发区石山村（近吴越大街）,景点,宗教,119.685845,30.189615
中国湿地博物馆,浙江,杭州,杭州,0571,88872933,西溪,天目山路402号,景点,博物馆,120.087519,30.264141
西溪梅墅,浙江,杭州,杭州,0571,88106696,西溪,天目山路518号西溪国家湿地公园内（东北角）,景点,自然风光,120.067316,30.260429
高庄,浙江,杭州,杭州,0571,88106688;87939552,西溪,天目山路西溪湿地公园内（近汽车西站）,景点,城市公园,120.077857,30.263393
八百里风情岛,浙江,杭州,临安,0571,63810218,青山湖景区,潘山村六组),景点,自然风光,119.772026,30.261099
小百花公园,浙江,杭州,杭州,0571,87962488,高新文教区,西溪街道教工路与文二路交口南70米（小百花越剧团对面）,景点,公园/广场,120.13622,30.282116
中友旅行社,浙江,杭州,杭州,0571,156****0168,湖滨/解百商厦,仁和路4-2号,景点,旅行社,120.166548,30.252958
浙江西湖美术馆,浙江,杭州,杭州,0571,86013085,西湖北线/黄龙,孤山路25号,景点,美术馆,120.144698,30.251613
杭州孔庙,浙江,杭州,杭州,0571,87016605,吴山广场/河坊街,府学巷8号,景点,景点/周边游,120.161907,30.241806
垂云通天河,浙江,杭州,桐庐县,0571,64371618,桐庐县其他,208省道瑶琳镇东琳村,景点,自然风光,119.533956,29.926966
学士公园,浙江,杭州,杭州,0571,,南山路/柳浪闻莺/美术学院,南山路61号,景点,公园/广场,120.156037,30.235941
潇然旅行社,浙江,杭州,杭州,0571,86620083,开发区/高教园,江南大道3588号恒生大厦302室,景点,旅行社,120.166404,30.185494
中国伞博物馆,浙江,杭州,杭州,0571,88197508,拱宸桥/上塘,拱宸桥街道小河路336号,景点,博物馆,120.137966,30.315985
中国扇博物馆,浙江,杭州,杭州,0571,88099880;88197518,拱宸桥/上塘,小河路450号,景点,博物馆,120.138116,30.318907
