名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
马甸公园,北京,北京,北京,010,138****0720,牡丹园/北太平庄,G6辅路与裕民路交叉口西侧,景点,城市公园,116.379868,39.972294
北京明城墙遗址公园,北京,北京,北京,010,65270574;65270080,崇文门,崇文门东大街9号,景点,文化公园,116.427933,39.901272
南馆公园,北京,北京,北京,010,84012558,东直门,西羊管胡同甲1号,景点,城市公园,116.427696,39.943535
金隅南湖公园,北京,北京,北京,010,64738813,望京,阜通西大街20号,景点,城市公园,116.460472,39.982311
南口公园,北京,北京,北京,010,69775448,南口镇,南口西大桥西侧,景点,城市公园,116.117912,40.234161
南礼士路公园,北京,北京,北京,010,62023200,月坛,南礼士路58号（南礼士路地铁站B东北口步行340米）,景点,城市公园,116.354645,39.910748
南苑公园,北京,北京,北京,010,67992403,新宫,南苑西路5号,景点,城市公园,116.378693,39.806465
人定湖公园,北京,北京,北京,010,62023200,德外大街,德胜街道安德路六铺炕15号（黄寺大街南侧）,景点,城市公园,116.38559,39.957405
日坛公园,北京,北京,北京,010,85616301;85635038,建外大街,日坛北路6号,景点,城市公园,116.44383,39.915566
三元桥文化园,北京,北京,北京,010,84542268,亮马桥/三元桥,三元桥新源里街心绿地,景点,城市公园,116.45079,39.949593
石榴庄公园,北京,北京,北京,010,,大红门,南四环中路大红门东桥凉水河南,景点,城市公园,116.422508,39.83342
北京世界公园,北京,北京,北京,010,83613681,世界公园,花乡街道大葆台158号,景点,主题公园,116.287921,39.810482
双龙公园,北京,北京,北京,010,,北京欢乐谷,北杨庄路138号,景点,城市公园,116.48288,39.869556
双秀公园,北京,北京,北京,010,62011695;82089805,牡丹园/北太平庄,北三环中路20号,景点,城市公园,116.374817,39.966297
双榆树公园,北京,北京,北京,010,,双榆树,科学院南路31号,景点,城市公园,116.324814,39.970451
顺城公园,北京,北京,北京,010,,阜成门,阜成门桥东100米（宫门口四条南）,景点,文化公园,116.357201,39.913258
顺义公园,北京,北京,北京,010,69441755,顺义城区,光明南街26号,景点,城市公园,116.662003,40.120822
四得公园,北京,北京,北京,010,64353759,酒仙桥,将台乡将台西路9号,景点,城市公园,116.474869,39.972145
四季青公园,北京,北京,北京,010,,远大路,蓝靛厂北路,景点,城市公园,116.287476,39.968742
太阳宫公园,北京,北京,北京,010,84574426,太阳宫,十字口东街（近太阳宫路）,景点,城市公园,116.455856,39.975361
天坛公园,北京,北京,北京,010,67013036;67012483,天坛,天坛东路天坛东里甲1号,景点,园林,116.411034,39.881775
万春园公园,北京,北京,北京,010,81524984,梨园,玉桥中路19号,景点,城市公园,116.677231,39.893257
万芳亭公园,北京,北京,北京,010,67211666,洋桥/木樨园,南三环西路3号,景点,城市公园,116.37571,39.858597
万柳公园,北京,北京,北京,010,82706909,苏州桥,新宫门路,景点,城市公园,116.293381,39.979977
万寿公园,北京,北京,北京,010,63540841;63542172,右安门,白纸坊东街甲29号（陶然亭地铁站A西北口步行480米）,景点,城市公园,116.368248,39.879787
望京公园,北京,北京,北京,010,64382268,望京,崔各庄地区彩虹路2号,景点,城市公园,116.498512,39.994781
卧龙公园,北京,北京,北京,010,69445460,顺义城区,顺白路2号,景点,城市公园,116.640556,40.14093
顺义夕阳红公园,北京,北京,北京,010,,石园,府前中街8号,景点,城市公园,116.670982,40.113068
西海子公园,北京,北京,北京,010,80882290,新华大街,新华街道西海子西路12号,景点,城市公园,116.664116,39.914635
香河园公园,北京,北京,北京,010,,左家庄,左家庄街道机场高速与左家庄东街交叉路口往西约50米,景点,城市公园,116.448906,39.95385
香山公园,北京,北京,北京,010,62591222,香山/植物园,香山街道买卖街40号,景点,园林,116.188598,39.990826
兴隆公园,北京,北京,北京,010,85759918,高碑店,兴隆庄甲8号（近高碑店地铁站）,景点,城市公园,116.533592,39.912609
宣武艺园,北京,北京,北京,010,83116736,牛街,槐柏树街12号（近宣武医院、长椿街地铁站西南口）,景点,城市公园,116.359192,39.895138
窑洼湖公园,北京,北京,北京,010,67316688,朝阳区,北工大路与奥林匹克路交叉口北480米,景点,城市公园,116.484222,39.882345
迎宾公园,北京,北京,北京,010,,城关街道,城关街道燕房路,景点,公园/广场,115.995987,39.700714
中山公园,北京,北京,北京,010,66055431,东城区,东华门街道中华路4号（天安门西侧）,景点,园林,116.394402,39.910706
八达岭全教学滑雪场,北京,北京,延庆区,010,69129922;69129988,八达岭,八达岭镇经济开发区66号,景点,滑雪场,115.957841,40.347022
怀北国际滑雪场,北京,北京,怀柔区,010,89696677,青龙峡,河防口村548号,景点,滑雪场,116.656303,40.447449
军都山滑雪场,北京,北京,北京,010,60725888,蟒山国家森林公园,崔村镇真顺村588号,景点,滑雪场,116.331245,40.239677
南山滑雪场,北京,北京,密云区,010,89091909;84411182,南山滑雪场,河南寨镇圣水头村,景点,滑雪场,116.861755,40.331215
万科石京龙滑雪场,北京,北京,延庆区,010,69191617;69191615,龙庆峡,中羊坊村旧小路龙聚山庄北区东邻,景点,滑雪场,115.96978,40.525173
云佛滑雪场,北京,北京,密云区,010,61008900,密云水库,溪翁庄镇313省道云佛滑雪场,景点,滑雪场,116.881516,40.473934
安亲王府,北京,北京,北京,010,,崇文门,东交民巷15号法国使馆旧址,景点,历史建筑,116.410721,39.90276
八达岭长城,北京,北京,延庆区,010,61118002;69122222,八达岭,军都山关沟古道北口,景点,古代遗迹,116.016777,40.356159
白河峡谷营地,北京,北京,怀柔区,010,139****0339,白河湾,琉璃庙镇青石岭村,景点,更多景点/周边游,116.681654,40.663221
北京后花园,北京,北京,北京,010,60707588;69768087,昌平区,后二路,景点,自然风光,116.077477,40.137981
白马关堡,北京,北京,密云区,010,,密云区其他,西火路与白南路交叉路口往东北约130米,景点,古代遗迹,116.916054,40.714813
妙应寺白塔,北京,北京,北京,010,66166099,阜成门,阜成门内大街171,景点,历史建筑,116.363335,39.924885
白云观,北京,北京,北京,010,63463531;63396074,复兴门,白云观街9号,景点,宗教,116.343773,39.90126
百望山森林公园,北京,北京,北京,010,62884356;62884508,百望山森林公园/309医院,黑山扈北口19号,景点,森林公园,116.255619,40.02997
北京海洋馆,北京,北京,北京,010,62176655,北下关,高梁桥斜街乙18号,景点,海洋馆,116.340965,39.944674
碧云寺,北京,北京,北京,010,62594463;62591222,香山/植物园,香山买卖街40号香山公园内,景点,宗教,116.19136,39.997486
蔡锷故居,北京,北京,北京,010,,新街口,棉花胡同66号,景点,名人故居,116.376465,39.937786
蔡元培故居,北京,北京,北京,010,65275840,王府井/东单,东堂子胡同75号（灯市口地铁站C东南口步行430米）,景点,名人故居,116.418419,39.914402
程砚秋故居,北京,北京,北京,010,,西四,西四北三条39号,景点,名人故居,116.367714,39.927856
北京大观园,北京,北京,北京,010,63582011;63544993,右安门,南菜园西街12号,景点,园林,116.35614,39.871433
大寒岭关城,北京,北京,门头沟区,010,87012690,门头沟区,018县道,景点,历史建筑,115.819058,39.940858
敕建大觉禅寺,北京,北京,北京,010,62456163;62456162,海淀区,苏家坨镇大觉寺路9号,景点,宗教,116.106022,40.052825
地坛公园,北京,北京,北京,010,64214657,雍和宫/地坛,安定门外大街,景点,古代遗迹,116.415459,39.954182
法海禅寺,北京,北京,北京,010,88715776,模式口,模式口大街48号,景点,历史建筑,116.159459,39.941479
法源寺,北京,北京,北京,010,63534171,牛街,法源寺前街7号,景点,宗教,116.369888,39.885384
冯国璋故居,北京,北京,北京,010,,地安门,帽儿胡同13号（南锣鼓巷地铁站E西北口步行450米）,景点,名人故居,116.401283,39.936455
北京凤凰岭,北京,北京,北京,010,62455933,海淀区,苏家坨镇凤凰岭路19号,景点,自然风光,116.084178,40.107709
缸瓦市基督教堂,北京,北京,北京,010,66176181;66172838,西四,西四南大街57号（西四丁字路口南侧路西）,景点,宗教,116.373155,39.921385
龚自珍故居,北京,北京,北京,010,,宣武门,上斜街50号,景点,名人故居,116.369118,39.897587
