名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
中青国际旅行社,河南,郑州,郑州,0371,69118526;188****9543,西大街,紫荆山路与东大街交叉口向西200米路北福华大厦B座17楼C室（二七广场）,景点,旅行社,113.681326,34.752176
中州国际旅行社,河南,郑州,郑州,0371,86601700,中原万达,中原路华山路中原万达广场写字楼B座一楼大厅（近2号门）,景点,旅行社,113.601044,34.747013
中青国际旅行社有限公司,河南,郑州,郑州,0371,189****9223,国贸360,农业路政七街省汇中心B座2603室,景点,旅行社,113.687684,34.786764
海外旅行社,河南,郑州,郑州,0371,134****7383,碧沙岗,建设路鑫苑国际广场1单元709室,景点,旅行社,113.623,34.7554
鸿雁国际旅行社,河南,郑州,新密市,0371,151****2551;186****3232,新密市政府,溱水路与北密新路交叉口向东18米路南,景点,旅行社,113.396972,34.541752
旅视旅游,河南,郑州,郑州,0371,65938013;65938011,国贸360,花园路丰产路交叉口国贸A座806室,景点,旅行社,113.681351,34.784882
康辉旅行社,河南,郑州,郑州,0371,63366101;185****5710,二七万达,航海中路163号鼎盛时代大厦6层616号,景点,旅行社,113.643502,34.717642
康辉旅行社,河南,郑州,郑州,0371,130****5981,郑州大学,兴华北街与绿城广场南路丹尼斯负一楼,景点,旅行社,113.630009,34.745581
河南省海外旅游有限公司,河南,郑州,郑州,0371,55225797,陈砦,丰庆路街道丰庆路中方园小区(西区)50号楼6单元603室,景点,旅行社,113.648581,34.813088
豫中旅国际旅行社,河南,郑州,郑州,0371,56052030,升龙广场,政通路66-7号升龙商业广场F2层,景点,旅行社,113.643013,34.725479
河南中港国际旅行社有限公司,河南,郑州,登封市,0371,135****3939,登封市其他,洧河路650号,景点,旅行社,113.040867,34.449467
海外旅行社重渡沟二日游,河南,郑州,郑州,0371,55050237,郑州东站,东风南路,景点,旅行社,113.768683,34.760443
亚泰国际旅行社,河南,郑州,郑州,0371,63711818,锦艺城/王府井,桐柏北路113号院鑫苑都市公寓3号楼7层,景点,旅行社,113.615179,34.770183
盛世天泉温泉酒店,河南,郑州,郑州,0371,66655066,郑东新区,心怡路与正光路交叉口东北角,景点,温泉,113.771075,34.773692
河南海外旅行社,河南,郑州,郑州,0371,134****7383;150****5481,冉屯路/五龙口,西湖春天小区38号楼3单元6层165号,景点,旅行社,113.609791,34.783031
康辉旅行社,河南,郑州,郑州,0371,66293301;66293302,国贸360,农业路与花园路交叉口向西200米,景点,旅行社,113.676296,34.785496
中青国际旅行社,河南,郑州,郑州,0371,69118136;158****8771,升龙广场,政通路交通路升龙世纪花园2区5号楼2411室,景点,旅行社,113.6434,34.718302
河南中青国际旅行社有限公司,河南,郑州,郑州,0371,137****2895,二七万达,大学路二七万达广场12A座11层1114室,景点,旅行社,113.643494,34.71809
郑州方特梦幻王国,河南,郑州,中牟县,0371,56928200,刘集镇,郑开大道与人文路交汇处南2公里,景点,主题乐园,113.925684,34.767104
河南中国旅行社,河南,郑州,郑州,0371,86556290,鑫苑鑫都汇,陇海中路庆丰街鑫苑现代城负一楼华润万家超市内,景点,旅行社,113.652126,34.736051
儿童公园,河南,郑州,郑州,0371,,儿童公园/凯旋门,陇海西路与桐柏南路交汇处向西250米路南,景点,公园/广场,113.610794,34.734974
曲梁水库,河南,郑州,新密市,0371,,新密市其他,曲梁镇曲梁水库花园,景点,现代建筑,113.601011,34.522011
大唐国旅,河南,郑州,巩义市,0371,186****6116,星月时代广场,人民路与建设路交叉口东100米路南,景点,旅行社,112.990021,34.749621
郑州国际会展中心,河南,郑州,郑州,0371,68089988,郑东新区CBD,如意湖街道郑东新区商务内环路中央公园1号,景点,展览馆,113.72918,34.772867
纳帕美景庄园,河南,郑州,郑州,0371,56995599,惠济区,北四环与师南路交叉口西150米,景点,更多景点/周边游,113.570387,34.860158
草坪广场,河南,郑州,郑州,0371,63799936,黄河游览区,黄河南岸86号思念果岭国际社区,景点,公园/广场,113.518977,34.912201
易谷河南文化艺术网商园,河南,郑州,郑州,0371,,省体中心/裕华广场,兴隆铺路48号,景点,创意园区,113.615532,34.812734
马渡乡村公园,河南,郑州,郑州,0371,,郑东新区,龙子湖办事处马渡村,景点,公园/广场,113.80252,34.869471
