名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
天成国际旅游有限公司,广西,桂林,桂林,0773,185****8196,广西师大/三里店广场,桂大路32号1栋明珠大厦,景点,旅行社,110.319771,25.259571
春山秋水国旅,广西,桂林,桂林,0773,138****6059,会展中心/甲天下广场,穿山路40号6栋5-2室,景点,旅行社,110.301707,25.267456
悠然轻舟游四湖,广西,桂林,桂林,0773,2537655,阳桥,日月湾码头/知音码头,景点,旅行社,110.295512,25.272622
桂林南国国际旅行社有限公司,广西,桂林,桂林,0773,8997859,桂林站,铁西三里1号兴进-曦镇12栋2-2-1室,景点,旅行社,110.276612,25.265082
桂林一道儿旅游,广西,桂林,桂林,0773,2269701;180****7272,广西师大/三里店广场,朝阳路3号,景点,旅行社,110.332632,25.266201
桂林直升机空中游览,广西,桂林,桂林,0773,133****7067,中心广场/两江四湖,名城大酒店三楼,景点,旅行社,110.297901,25.274121
仙家温泉度假村,广西,桂林,平乐县,0773,7781788;152****2430,平乐县其他,仙家村,景点,温泉,110.970557,24.422019
大摩乾景广场,广西,桂林,桂林,0773,2672999,叠彩区,站前路29号联发乾景广场,景点,公园/广场,110.317224,25.328672
山水间,广西,桂林,桂林,0773,2806318,万福广场,平山北路33号瓦窑小镇内山水间剧院,景点,旅游项目/观光项目,110.299644,25.219248
林音阁,广西,桂林,桂林,0773,,理工大学屏风校区,环城北二路109号,景点,更多景点/周边游,110.312293,25.289693
古圣堂,广西,桂林,桂林,0773,,理工大学屏风校区,环城北二路江浙宾馆,景点,宗教,110.312378,25.290448
桂林阳朔国旅,广西,桂林,桂林,0773,177****5768,高铁北站,翊武路48号宝贤中学侧门,景点,旅行社,110.303028,25.329548
虹桥国旅,广西,桂林,桂林,0773,133****5835,桂林站,中山南路68号鑫桂佳苑2号楼一楼门面,景点,旅行社,110.283706,25.258443
桂林市清新国际旅行社,广西,桂林,桂林,0773,,中心广场/两江四湖,信义路59号2栋2楼商业门面,景点,旅行社,110.286748,25.280834
台联国旅,广西,桂林,桂林,0773,2219776,高铁北站,金河路与广发路交叉口东北20米,景点,旅行社,110.302952,25.330974
荔浦正大国际旅行社,广西,桂林,荔浦市,0773,181****5959,滨江路,沙园路与中园路交叉口北40米路西,景点,旅行社,110.40031,24.48864
桂林自游自在旅游,广西,桂林,阳朔县,0773,4008892773,阳朔县其他,095县道江华农家乐旁,景点,旅行社,110.453909,24.994269
湘山老坛,广西,桂林,全州县,0773,,全州中心广场,滨江北路全州县机关幼儿园东北侧约210米,景点,自然景观,111.078919,25.929849
港中旅（桂林）国际旅行社有限公司,广西,桂林,永福县,0773,8558898;2307553,永兴大道,凤城路186号,景点,旅行社,109.991217,24.986437
风洞,广西,桂林,桂林,0773,,七星公园,七星路1号七星景区内,景点,自然景观,110.310855,25.273016
逍遥楼遗址,广西,桂林,桂林,0773,,中心广场/两江四湖,滨江路北段逍遥楼遗址景区,景点,古代遗迹,110.301884,25.27844
归仁洞,广西,桂林,龙胜各族自治县,0773,,龙胜各族自治县其他,乐江镇,景点,人文古迹,109.880661,25.967319
白面瑶寨,广西,桂林,龙胜各族自治县,0773,150****9681,龙胜各族自治县其他,泗水乡周家村,景点,美丽乡村,110.189541,25.903218
乌桕滩,广西,桂林,桂林,0773,,雁山区,草坪回族乡漓江西岸竹江码头下游3公里处竹江村河滩上,景点,自然风光,110.421463,25.103773
茶博苑,广西,桂林,桂林,0773,,叠彩区,金鸡路17号茶叶科学研究所,景点,景点/周边游,110.368859,25.297257
浪石村,广西,桂林,阳朔县,0773,,阳朔县其他,杨堤乡,景点,更多景点/周边游,110.453526,24.977026
阳朔电视塔,广西,桂林,阳朔县,0773,8822481,西街周边/抗战路,阳朔电视塔,景点,高空观景,110.490395,24.770042
独秀山,广西,桂林,阳朔县,0773,,西街,叠翠路与桂花路交叉口西200米,景点,自然风光,110.490913,24.776512
和谐国际旅行社,广西,桂林,桂林,0773,,联达商业广场,中山南路辅路与崇信路交叉口北160米,景点,旅行社,110.284731,25.250631
战友国际旅行社,广西,桂林,桂林,0773,,桂林站,中山南路55号,景点,旅行社,110.284059,25.263499
阳朔国际旅行社桂云假期,广西,桂林,桂林,0773,2269188,红街商业街,崇信路11号4层,景点,旅行社,110.291654,25.238524
顺和嘉国际旅行社乐乐游旅游营业部,广西,桂林,阳朔县,0773,8888072,西街周边/抗战路,观莲路19号,景点,旅行社,110.497777,24.771117
东方国际旅行社,广西,桂林,资源县,0773,,西延南路,丹霞商务宾馆四楼8423室,景点,旅行社,110.64195,26.0325
众信国际旅行社,广西,桂林,桂林,0773,135****5827,桂林站,中山南路57号,景点,旅行社,110.287257,25.264884
阅秀文化旅游有限责任公司,广西,桂林,桂林,0773,,中心广场/两江四湖,中华路22号广西师范大学出版社集团,景点,旅行社,110.301424,25.283214
桂林台联国际旅行社,广西,桂林,荔浦市,0773,7227186,荔柳路,城南街中园路26号,景点,旅行社,110.401763,24.494823
资江精华游,广西,桂林,资源县,0773,4388888,资江漂流景区,天门山景区内资江精华游,景点,城市观光,110.66186,26.056556
大桐木湾村,广西,桂林,灵川县,0773,,海洋乡银杏,海洋乡,景点,古村古镇,110.580994,25.299887
冠岩洞,广西,桂林,桂林,0773,3909901,雁山区,漓江中段,景点,公园/广场,110.450774,25.057254
桂林畅享旅游,广西,桂林,桂林,0773,2258622;2258633,西城路步行街,南环路国药大药房旁,景点,旅行社,110.291415,25.268296
桂林市中国旅行社,广西,桂林,桂林,0773,5889333,西城路步行街,文明路37-2号,景点,旅行社,110.29284,25.267465
新绎大众国际旅行社有限公司,广西,桂林,桂林,0773,,万达广场,骖鸾路32号综合楼5楼,景点,旅行社,110.318548,25.250548
风雨桥,广西,桂林,资源县,0773,,西延南路,镇中路和城中路交叉口西行100米路南,景点,人文古迹,110.640576,26.031956
南无阿弥陀佛祝圣寺,广西,桂林,桂林,0773,,七星公园,七星路1号,景点,宗教,110.31308,25.276268
上海春秋旅行社,广西,桂林,桂林,0773,4008206222,西城路步行街,中山中路1号,景点,旅行社,110.288153,25.269303
桂林市中国旅行社,广西,桂林,桂林,0773,,高铁北站,北辰路,景点,旅行社,110.304923,25.327653
西城步行街,广西,桂林,龙胜各族自治县,0773,7519688,东园路,兴龙西路13号,景点,步行街,110.007057,25.796949
欢乐行国际旅行社,广西,桂林,阳朔县,0773,,西街周边/抗战路,抗战路26号附近,景点,旅行社,110.496265,24.769595
虹之旅国际旅游有限公司,广西,桂林,阳朔县,0773,2306918,西街,县前街27号,景点,旅行社,110.494125,24.776022
桂林国旅,广西,桂林,桂林,0773,,会展中心/甲天下广场,施家园路隐龙居11号,景点,旅行社,110.304178,25.267548
港中旅（桂林）国际旅行社,广西,桂林,桂林,0773,2859018,中心广场/两江四湖,中山中路52号,景点,旅行社,110.297226,25.28384
漓江国际旅行社,广西,桂林,阳朔县,0773,131****9255;189****7176,西街,滨江路杨堤码头,景点,旅行社,110.498138,24.777108
爱心亭,广西,桂林,桂林,0773,,广西师大/三里店广场,空明东路与合明路交叉口东北220米,景点,更多景点/周边游,110.325348,25.256368
