名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
厦门海湾公园游乐场,福建,厦门,厦门,0592,5907909;152****9229,海湾公园,湖滨西路海湾公园北园,景点,城市公园,118.076498,24.474121
厦门铁路文化公园,福建,厦门,厦门,0592,,环岛路沿线,思明南路439号（万石湖西北面）,景点,文化公园,118.090469,24.447523
幸福之旅国际旅行社,福建,厦门,厦门,0592,8586123,莲花,嘉禾路188号207室,景点,旅行社,118.128617,24.489021
福音堂,福建,厦门,厦门,0592,2072591,中山路/轮渡,思明东路139号,景点,宗教,118.083443,24.457602
巨鹏飞梦幻海岸,福建,厦门,厦门,0592,5888863,观音山,莲前街道环岛东路商业街17号,景点,水上乐园,118.19873,24.49765
厦门金台国际旅行社,福建,厦门,厦门,0592,5183344,莲前大道/加州广场,前埔北区一里212号之7（近莲前东路华林公交车站）,景点,旅行社,118.169937,24.475325
黄荣远堂,福建,厦门,鼓浪屿,0592,6883070,鼓浪屿,福建路32号,景点,历史建筑,118.073128,24.443312
宝海堂,福建,厦门,厦门,0592,,环岛路黄厝海滨浴场,环岛路黄厝溪头下社,景点,景点/周边游,118.142128,24.42841
协和礼拜堂,福建,厦门,鼓浪屿,0592,,鼓浪屿,晃岩路35-6号鼓浪屿风景名胜区内（东侧）,景点,宗教,118.072479,24.444056
五缘湾湿地公园,福建,厦门,厦门,0592,5220888,五缘湾,汤屿路与五缘湾道交叉口北侧,景点,自然保护区,118.176486,24.516217
厦门万里行国际旅行社,福建,厦门,厦门,0592,5365600;189****1976,火车站,嘉禾路23号新景中心A栋2901室,景点,旅行社,118.120735,24.480387
齐行旅行,福建,厦门,厦门,0592,5166275;159****4486,五缘湾,泗水道万隆国际广场1101,景点,旅行社,118.188567,24.527377
国际会议展览中心,福建,厦门,厦门,0592,5959898;5959209,环岛路沿线,会展路198号,景点,展览馆,118.182885,24.467163
诗巴丹潜水俱乐部,福建,厦门,厦门,0592,2043300;136****1227,环岛路沿线,前埔北区二里西门北90米,景点,潜水,118.171514,24.475294
大嶝岛,福建,厦门,厦门,0592,5318858,大嶝岛,大嶝岛（近台湾商品市场）,景点,自然风光,118.33757,24.553137
崇仙宫,福建,厦门,厦门,0592,,莲花,莲花北路97号附近,景点,历史建筑,118.13221,24.487137
文化艺术中心,福建,厦门,厦门,0592,2926269,体育路,筼筜街道体育路95号,景点,美术馆,118.109792,24.489943
不争公园,福建,厦门,厦门,0592,,莲坂/明发商业广场,莲前西路(近源昌君悦山),景点,公园/广场,118.130333,24.477764
龙山洞,福建,厦门,鼓浪屿,0592,2060777,鼓浪屿,三明路1号,景点,自然风光,118.069298,24.448028
君汝海滩,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓声路,景点,自然风光,118.06359,24.440583
最美转角,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓新路18号（近三明路）,景点,现代建筑,118.06821,24.449353
厦门方特梦幻王国,福建,厦门,厦门,0592,3873100;4001660006,同安区,石浔南路1111号,景点,主题乐园,118.174964,24.679541
启明寺,福建,厦门,厦门,0592,2091087,环岛路沿线,曾厝埯405号,景点,宗教,118.124962,24.431976
新中林旅行社,福建,厦门,厦门,0592,2113366,莲花,玉荷路新中林大酒店,景点,旅行社,118.125031,24.48164
中国国旅,福建,厦门,厦门,0592,5853000;5853008,火车站,湖滨北路118号振兴大厦北门,景点,旅行社,118.120148,24.469978
海滨公园,福建,厦门,厦门,0592,133****0830,中山路/轮渡,鹭江道鹭江之夜厦门旅游客运码头旁,景点,公园/广场,118.072205,24.456537
仙岳山福德正神庙,福建,厦门,厦门,0592,,湖里公园,湖滨东路仙岳公园内,景点,宗教,118.101449,24.496139
金嶝回归寺,福建,厦门,厦门,0592,,大嶝岛,大嶝岛,景点,宗教,118.343796,24.556292
