名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
成都中国青年旅行社,四川,成都,青白江区,028,83668828,幸福家园,芳邻路25号附15-附16号,景点,旅行社,104.262439,30.881344
寿佛寺,四川,成都,青白江区,028,,青白江区,公园路20号,景点,宗教,104.323093,30.85419
三国八阵图遗址,四川,成都,青白江区,028,86702855,青白江区,弥牟镇茶树街,景点,古代遗迹,104.203667,30.880772
基督教清心堂,四川,成都,青白江区,028,,青白江区,桂红路清泉镇中心小学校东南侧约230米,景点,宗教,104.392785,30.742482
客家杏林生态公园,四川,成都,青白江区,028,,青白江区,大堰路与成环路交叉口南150米,景点,城市公园,104.365057,30.709424
房产档案室,四川,成都,青白江区,028,83692675,幸福家园,华金大道二段461号,景点,展览馆,104.254973,30.884133
游客服务中心,四川,成都,青白江区,028,,青白江区,凤凰大道三段299号,景点,公园/广场,104.288491,30.884773
芦稿村计生文化广场,四川,成都,青白江区,028,,青白江区,芦同路,景点,公园/广场,104.364659,30.812571
三清观,四川,成都,青白江区,028,177****3746,青白江区,西街136号,景点,宗教,104.317848,30.853628
彭大将军衣冠墓园,四川,成都,青白江区,028,,青白江区,成南路与玉龙路交叉口东440米,景点,烈士陵园,104.337491,30.860288
工业区森林公园,四川,成都,青白江区,028,,青白江区,城厢镇青白江大道西150米,景点,森林公园,104.273712,30.838456
城市森林和谐广场,四川,成都,青白江区,028,,幸福家园,新河路9号,景点,广场,104.257414,30.884463
陈氏宗祠,四川,成都,青白江区,028,187****7192,青白江区,西街135号,景点,宗教,104.318428,30.85342
客家杏花村游客中心,四川,成都,青白江区,028,,青白江区,成环路客家杏花村旅游景区南,景点,公园/广场,104.359235,30.709565
音乐花卉公园,四川,成都,新都区,028,,熊猫基地,叠秀路,景点,城市公园,104.14109,30.744783
赵家社区居民活动广场,四川,成都,新都区,028,,大丰,石犀路与蚕丛路交叉路口南侧（佳煦智能幼稚园西南侧）,景点,公园/广场,104.061441,30.777026
宝光广场,四川,成都,新都区,028,189****6132,宝光寺,宝光大道中段159号,景点,广场,104.161087,30.82946
东湖森林广场,四川,成都,新都区,028,,新繁,广场东路23号-,景点,广场,104.01564,30.877159
石犀运动公园,四川,成都,新都区,028,,大丰,中国四川省成都市新都区大丰镇石犀路111号（石犀公园地铁站E口步行80米）,景点,城市公园,104.058907,30.763538
新闻国旅,四川,成都,新都区,028,83012155,桂湖,三倒拐55号,景点,旅行社,104.159476,30.823916
木兰寺,四川,成都,新都区,028,,木兰山,木兰社区200号,景点,宗教,104.193146,30.777687
黄河村文化活动广场,四川,成都,新都区,028,,新都区其他,君跃路169号西南方向190米,景点,公园/广场,104.205495,30.807095
成都贝尔公园,四川,成都,新都区,028,,斑竹园,香城大桥附近,景点,城市公园,104.07795,30.808495
新都体育森林公园,四川,成都,新都区,028,,马超路,新园路三辉超市对面,景点,森林公园,104.17308,30.814779
绿地生态园林公园,四川,成都,新都区,028,,马超路,G93成渝环线高速,景点,城市公园,104.206055,30.802608
新都弥陀寺,四川,成都,新都区,028,189****4000,桂湖,状元街171-173号,景点,宗教,104.153557,30.824787
白水寺,四川,成都,新都区,028,,斑竹园,柏水路336号（柏水场地铁站A口步行490米）,景点,宗教,104.092781,30.818336
四川丝绸博物馆,四川,成都,新都区,028,61620559,新都物流基地,承顺街17号(绕城新都出口)锦门·沉浸式民国景区（东北角）,景点,博物馆,104.130905,30.779652
思后园文化广场,四川,成都,新都区,028,,静安路,龙家湾巷63号,景点,公园/广场,104.179373,30.825441
杨升庵博物馆,四川,成都,新都区,028,,桂湖,桂湖中路89号附10号,景点,博物馆,104.159768,30.822808
明心寺,四川,成都,温江区,028,,国色天乡,春江北路98号,景点,宗教,103.829735,30.733788
宝中旅游,四川,成都,温江区,028,82711200,四川交通职业技术学院,杨柳东路北段与云凤路交汇处,景点,旅行社,103.827519,30.692779
天府花城石文化博物馆,四川,成都,温江区,028,82627199,国色天乡,天府花城1栋2号,景点,博物馆,103.816315,30.71627
温江天主堂,四川,成都,温江区,028,,文庙,东巷子27号,景点,宗教,103.839767,30.699631
陈家桅杆,四川,成都,温江区,028,82723058,温江区其他,汪电路,景点,历史建筑,103.739684,30.824065
环球国旅,四川,成都,温江区,028,82782724,温江大学城,行署路51号,景点,旅行社,103.838671,30.699771
蓉城美术馆,四川,成都,温江区,028,,国色天乡,万春镇天府花城,景点,美术馆,103.818329,30.715158
白衣寺,四川,成都,温江区,028,,温江区其他,双关路白衣寺,景点,宗教,103.883063,30.659792
芙蓉文化广场,四川,成都,温江区,028,,温江区其他,开元街,景点,广场,103.910108,30.726813
大乘院,四川,成都,温江区,028,,温江区其他,天乡路一段与科惠路交叉口东300米,景点,宗教,103.865726,30.712559
环球国旅,四川,成都,温江区,028,64171669,文庙,文化路70号,景点,旅行社,103.843569,30.696989
金色海洋水族,四川,成都,温江区,028,136****9713,温江大学城,杨柳西路北段174-175室,景点,动植物园,103.824375,30.695615
成都中国青年旅行社,四川,成都,金堂县,028,189****7847,金堂县其他,十里大道1段-706号,景点,旅行社,104.413551,30.860031
藏羌风情街,四川,成都,金堂县,028,,淮口镇,金履街与现代大道交叉口西北角,景点,步行街,104.538803,30.701073
云顶石城风景区,四川,成都,金堂县,028,84982649;85580283,金堂县其他,淮口街道金乐路,景点,自然风光,104.488747,30.72921
瑞光寺,四川,成都,金堂县,028,,淮口镇,淮白路观音殿,景点,宗教,104.559235,30.709993
环球国旅,四川,成都,金堂县,028,153****4830,金堂县其他,赵镇街道新建路77号,景点,旅行社,104.428471,30.854411
贺麟故居,四川,成都,金堂县,028,,金堂县其他,青凤街附近,景点,名人故居,104.475621,30.596691
梅林公园,四川,成都,金堂县,028,,金堂县其他,公园路77号,景点,公园/广场,104.443153,30.84795
金阳公园,四川,成都,金堂县,028,,金海岸耍都,迎宾大道一段,景点,城市公园,104.408194,30.85472
三学禅院,四川,成都,金堂县,028,,金堂县其他,的三学山,景点,宗教,104.495155,30.857981
灵开寺,四川,成都,金堂县,028,86829431,金堂县其他,金乐路,景点,宗教,104.516815,30.740913
中国农民工博物馆,四川,成都,金堂县,028,,金堂县其他,金沙街96号附近,景点,博物馆,104.40435,30.856485
圆觉古刹,四川,成都,金堂县,028,,金堂县其他,云石路,景点,宗教,104.481673,30.746362
银杏生态园,四川,成都,金堂县,028,183****9688,金堂县其他,高板街道金堂大道西50米,景点,动植物园,104.676461,30.674551
金堂禹王宫,四川,成都,金堂县,028,,金堂县其他,禹王下街56号,景点,历史建筑,104.83902,30.519659
永祚寺,四川,成都,双流区,028,133****5326,东升镇,迎春路一段34号,景点,宗教,103.926613,30.578529
成都中国青年旅行社,四川,成都,双流区,028,85839960,东升镇,棠湖西路一段6号（东升地铁站D1口步行410米）,景点,旅行社,103.920075,30.571856
宝中旅游,四川,成都,双流区,028,66275000,东升镇,广都大道107号,景点,旅行社,103.924658,30.560718
天台山枇杷生态园,四川,成都,双流区,028,,双流区其他,刘白路,景点,更多景点/周边游,104.231349,30.445009
金华庵,四川,成都,双流区,028,62157666,双流区其他,佛洞街162号,景点,宗教,103.971172,30.363634
双流观音寺,四川,成都,双流区,028,,黄龙溪,黄龙溪镇,景点,宗教,103.97863,30.321466
人民广场,四川,成都,双流区,028,,东升镇,芳草巷28号,景点,广场,103.921585,30.564255
和贵·滨河公园,四川,成都,双流区,028,,双流机场,锦华路江安河桥旁,景点,城市公园,103.988136,30.565231
运动公园,四川,成都,双流区,028,,城南优品道广场,金河路与航都大街交叉口西北角,景点,城市公园,103.906876,30.592215
正兴·浅水湾国际体育公园,四川,成都,双流区,028,,华阳,云龙村3组300号,景点,城市公园,104.033501,30.446375
